# Program:featureCounts v1.5.0-p1;
Geneid	Chr	Start	End	Strand	Length	s1	s2	s3	s4	s5	s6	s7	s8
ENSG00000223972.4	chr1;chr1;chr1;chr1	11869;12595;12975;13221	12227;12721;13052;14412	+;+;+;+	1756	0	0	0	0	0	0	0	0
ENSG00000227232.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	14363;14970;15796;16607;16854;17233;17498;17602;17915;18268;24734;29321;29534	14829;15038;15947;16765;17055;17368;17504;17742;18061;18379;24891;29370;29806	-;-;-;-;-;-;-;-;-;-;-;-;-	2073	30	31	78	66	42	83	77	71
ENSG00000243485.2	chr1;chr1;chr1	29554;30267;30976	30039;30667;31109	+;+;+	1021	0	0	0	0	0	0	0	0
ENSG00000237613.2	chr1;chr1;chr1	34554;35245;35721	35174;35481;36081	-;-;-	1219	0	0	0	0	0	0	0	0
ENSG00000268020.2	chr1;chr1	52473;54830	53312;54936	+;+	947	0	0	0	0	0	0	0	0
ENSG00000240361.1	chr1	62948	63887	+	940	0	0	0	0	0	0	0	0
ENSG00000186092.4	chr1	69091	70008	+	918	0	0	0	0	0	0	0	0
ENSG00000238009.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	89295;92091;110953;112700;120721;129055;133374	91629;92240;111357;112804;120932;129223;133566	-;-;-;-;-;-;-	3569	2	6	0	0	1	0	0	0
ENSG00000239945.1	chr1;chr1	89551;90287	90050;91105	-;-	1319	0	0	0	0	0	0	0	0
ENSG00000233750.3	chr1	131025	134836	+	3812	0	0	0	0	0	0	0	0
ENSG00000237683.5	chr1;chr1	134901;137621	135802;139379	-;-	2661	91	109	75	75	120	86	109	74
ENSG00000268903.1	chr1	135141	135895	-	755	0	0	0	0	0	0	0	0
ENSG00000269981.1	chr1	137682	137965	-	284	0	0	0	0	0	0	0	0
ENSG00000239906.1	chr1;chr1	139790;140075	139847;140339	-;-	323	4	9	2	2	12	2	1	2
ENSG00000241860.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	141474;146386;155767;164263;165884;168100;168610;169049;172557;173753	143011;149707;155831;164791;165942;168165;168767;169264;172688;173862	-;-;-;-;-;-;-;-;-;-	6195	22	22	3	10	18	0	1	1
ENSG00000222623.1	chr1	157784	157887	-	104	0	0	0	0	0	0	0	0
ENSG00000241599.1	chr1;chr1	160446;161314	160690;161525	+;+	457	0	0	0	0	0	0	0	0
ENSG00000228463.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1	227615;234355;236112;238418;257268;259017;267096	228776;234484;237955;238567;257672;259121;267253	-;-;-;-;-;-;-	3954	4	2	3	6	2	1	3	1
ENSG00000241670.2	chr1	228292	228775	-	484	0	0	0	0	0	0	0	0
ENSG00000237094.7	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	317720;319968;320881;321032;322038;322672;323861;324288;324439;327552;329784;334129;342392;439365;446014;450887;453217;453645	317781;320653;320938;321290;322228;323073;324060;324345;326514;328453;329976;334505;342806;439568;446193;451086;453318;453948	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6869	0	1	0	2	3	0	0	0
ENSG00000250575.1	chr1;chr1	326096;327348	326569;328112	+;+	1239	0	0	0	0	0	0	0	0
ENSG00000233653.3	chr1;chr1	329431;329950	329620;332236	-;-	2477	0	0	0	0	0	0	0	0
ENSG00000224813.2	chr1	334126	334305	+	180	0	0	0	0	0	0	0	0
ENSG00000235249.1	chr1	367640	368634	+	995	0	0	0	0	0	0	0	0
ENSG00000269732.1	chr1	379105	379467	-	363	0	0	0	0	0	0	0	0
ENSG00000256186.1	chr1;chr1	450820;450854	450852;450910	-;-	90	0	0	0	0	0	0	0	0
ENSG00000236601.1	chr1;chr1	453633;460380	454166;460480	-;-	635	0	0	0	0	0	0	0	0
ENSG00000236743.1	chr1;chr1;chr1	459656;461154;461751	459992;461288;461954	+;+;+	676	0	0	0	0	0	0	0	0
ENSG00000236679.2	chr1	470971	471355	+	385	0	0	0	0	0	0	0	0
ENSG00000231709.1	chr1;chr1;chr1	521369;522201;523497	521738;522335;523833	-;-;-	842	0	1	0	0	0	0	0	0
ENSG00000235146.2	chr1;chr1	523009;529615	523109;530148	+;+	635	0	0	0	0	0	0	0	0
ENSG00000239664.2	chr1;chr1;chr1	529833;530463;532679	530136;530597;532878	-;-;-	639	0	0	0	0	0	0	0	0
ENSG00000230021.3	chr1;chr1;chr1;chr1;chr1;chr1;chr1	536816;543335;637316;639065;646722;655412;659738	536957;543436;637720;639169;647302;655580;659930	-;-;-;-;-;-;-	1697	0	0	0	0	0	0	0	0
ENSG00000223659.1	chr1;chr1;chr1	562757;563341;564299	563203;563603;564390	-;-;-	802	0	0	0	0	0	0	0	0
ENSG00000225972.1	chr1	564442	564813	+	372	7	9	9	9	7	17	15	9
ENSG00000225630.1	chr1	565020	566063	+	1044	12	13	17	15	10	14	30	17
ENSG00000237973.1	chr1	566454	567996	+	1543	14779	13437	404	520	447	232	319	174
ENSG00000229344.1	chr1	568137	568818	+	682	16	18	28	32	39	20	31	24
ENSG00000240409.1	chr1	568915	569121	+	207	0	0	0	0	0	0	0	0
ENSG00000248527.1	chr1	569076	569756	+	681	15	13	30	36	36	19	37	22
ENSG00000198744.5	chr1	569756	570302	+	547	889	731	1157	2002	1122	1030	1311	563
ENSG00000268663.1	chr1	610222	610645	+	424	0	0	0	0	0	0	0	0
ENSG00000185097.2	chr1	621059	622053	-	995	0	0	0	0	0	0	0	0
ENSG00000229376.3	chr1;chr1	657472;660098	659740;660283	+;+	2455	0	0	0	0	0	0	0	0
ENSG00000224956.5	chr1;chr1	661611;663054	662372;663527	-;-	1236	6	6	19	17	10	22	25	16
ENSG00000235373.1	chr1;chr1	677193;682075	678730;685396	-;-	4860	2	0	1	2	1	0	0	0
ENSG00000223181.1	chr1	693613	693716	-	104	0	0	0	0	0	0	0	0
ENSG00000240618.1	chr1;chr1	694412;700103	694503;700305	-;-	295	0	0	0	0	0	0	0	0
ENSG00000229905.1	chr1;chr1	696291;697158	696534;697369	+;+	456	0	0	0	0	0	0	0	0
ENSG00000228327.2	chr1;chr1;chr1;chr1;chr1;chr1;chr1	700237;701709;703928;704877;708356;709551;713664	700627;701767;703993;705092;708487;709660;714006	-;-;-;-;-;-;-	1317	7	6	2	11	3	0	1	0
ENSG00000237491.4	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	714150;717317;718491;719750;721180;728262;730850;736987;738947;739299;740156;741766;742597;745002	714472;717571;718743;720357;723052;728421;730962;737256;739047;739602;740650;741839;742845;745440	+;+;+;+;+;+;+;+;+;+;+;+;+;+	5517	10	9	8	20	8	7	7	4
ENSG00000230092.3	chr1;chr1;chr1;chr1	736259;741179;743954;745447	736543;741271;744003;745541	-;-;-;-	523	0	0	0	2	1	0	1	1
